ein,org_subname,school_name
946174721,George Washington High School Ptsa,Washington (George) HS
900633862,San Francisco Public Montessori Pta,SF Public Montessori ES
943216902,Chinese Immersion School At Deavila,Chinese Immersion School at DeAvila ES
943127176,Paul Revere Elementary School Pta,Revere (Paul) K-8
943115659,4447 Junipero Serra Elementary Pta,Serra (Junipero) ES
946080909,Abraham Lincoln High Ptsa,Lincoln (Abraham) HS
943281678,337 Ulloa Elementary School Pta,Ulloa ES
943033872,Parents & Teachers Of B V   H M Pta,Buena Vista Horace Mann K-8
946172049,Lafayette Elementary Pta,Lafayette ES
942954256,Claire Lilienthal Elementary Pta,Lilienthal (Claire) K-8
943190930,4977 Jose Ortega Elementary Pta,Ortega (Jose) ES
943104531,A P Giannini Middle Pta,Giannini (A.P.) MS
946174741,4208 Daniel Webster Elementary Pta,Webster (Daniel) ES
943134102,Visitacion Valley Elementary Pta,Visitacion Valley ES
901190780,Teca Pta,
371540114,Hillcrest Elementary School Pta,Hillcrest ES
901391257,Bessie Carmichael School Pta,Carmichael (Bessie) K-8
946174619,E R Taylor Elementary Pta,Taylor (Edward R) ES
900809982,Roosevelt Pta,Roosevelt MS
942787358,338 Raoul Wallenberg Traditional Hi,Wallenberg (Raoul) HS
900630140,Spring Valley Science School Pta,Spring Valley Science ES
711015710,Dianne Feinstein Elementry School P,Feinstein (Dianne) ES
943050408,Ruth Asawa School Of The Arts Ptsa,Asawa (Ruth) SOTA HS
134317993,5945 Starr King Elementary Pta,King (Thomas Starr) ES
134317995,5943 William Mckinley Elem Sch Pta,McKinley ES
943078190,4185 Sutro Elementary Pta,Sutro ES
237349936,Rooftop Elementary Pta,Rooftop K-8
901111225,Mlk Pta,King Jr (Dr Martin L) MS
901116474,Presidio Ees Family Council Pta,Presidio EES
942569531,Francis Scott Key Elementary Pta,Key (Francis Scott) ES
943024060,Everett Middle School Ptsa,Everett MS
946174525,Robert Louis Stevenson Elem Pta,Stevenson (Robert Louis) ES
911812161,Families Of Sunset Pta,Sunset ES
946001217,2 Nd San Francisco District Pta,
946173249,328 Presidio Middle School Ptsa,Presidio MS
863070024,Academy Of Sf Ptsa,The Academy - SF @ McAteer HS
946171208,Alvarado Elementary Pta,Alvarado ES
946172237,Guadalupe Elementary Pta,Guadalupe ES
542173518,5901 Marshall Elementary School Pta,Marshall ES
900904015,Marina Middle Pta,Marina MS
943042896,Lakeshore Elementary Pta,Lakeshore ES
946174545,Sunnyside Elementary Pta,Sunnyside ES
562587473,306 Leonard Flynn Elementary Pta,Flynn (Leonard R) ES
900813648,Mission High School Ptsa,Mission HS
946171220,301 Aptos Middle School Pta,Aptos MS
943312467,5389 James Lick Middle School Ptsa,Lick (James) MS
943220822,Font Pta,New Traditions ES
237038038,Dolores Huerta Elementary Pta,Huerta (Dolores) ES
201159768,Galileo Academy Of Sci Tech Ptsa,Galileo HS
743030237,5822 Balboa High School Ptsa,Balboa HS
946184034,Miraloma Elementary School Pta,Miraloma ES
942967138,309 Grattan Elementary Pta,Grattan ES
901085026,Burton High School Ptsa,Burton (Phillip and Sala) HS
711004773,5974 George Peabody Elementary Pta,Peabody (George) ES
134265192,Lawton Alternative School Pta,Lawton K-8
942605294,3747 Alamo Elementary Pta,Alamo ES
946172271,Jefferson Elementary School Pta,Jefferson ES
946172144,Longfellow Elementary Pta,Longfellow ES
900350703,Rosa Parks Elementary Pta,Parks (Rosa) ES
260084079,Monroe Elementary School Pta,Monroe ES
901255925,Sanchez Elementary Pta,Sanchez ES
946172151,Lowell High School Ptsa,Lowell HS
900914298,James Denman Ptsa,Denman (James) MS
871461500,John Oconnell High School Pta,O'Connell (John) HS
924028414,Mlk Ptsa,
943351039,Sherman Pta,Sherman ES
